Date,Equity,Peak,Drawdown
2000-07-28,84.0955442881,113.229781664,0.257301894853
2000-07-27,84.0955442881,113.229781664,0.257301894853
2000-07-26,84.0955442881,113.229781664,0.257301894853
2000-07-25,84.0955442881,113.229781664,0.257301894853
2000-07-24,84.0955442881,113.229781664,0.257301894853
2000-07-21,84.0955442881,113.229781664,0.257301894853
2000-07-20,84.0955442881,113.229781664,0.257301894853
2000-07-19,84.0955442881,113.229781664,0.257301894853
2000-07-18,84.0955442881,113.229781664,0.257301894853
2000-07-17,84.0955442881,113.229781664,0.257301894853
2000-07-14,84.0955442881,113.229781664,0.257301894853
2000-07-13,84.0955442881,113.229781664,0.257301894853
2000-07-12,84.0955442881,113.229781664,0.257301894853
2000-07-11,84.0955442881,113.229781664,0.257301894853
2000-07-10,84.0955442881,113.229781664,0.257301894853
2000-07-07,84.0955442881,113.229781664,0.257301894853
2000-07-06,84.0955442881,113.229781664,0.257301894853
2000-07-05,84.0955442881,113.229781664,0.257301894853
2000-07-04,84.0955442881,113.229781664,0.257301894853
2000-07-03,84.0955442881,113.229781664,0.257301894853
2000-06-30,84.0955442881,113.229781664,0.257301894853
2000-06-29,84.0955442881,113.229781664,0.257301894853
2000-06-28,84.0955442881,113.229781664,0.257301894853
2000-06-27,84.0955442881,113.229781664,0.257301894853
2000-06-26,84.0955442881,113.229781664,0.257301894853
2000-06-23,84.0955442881,113.229781664,0.257301894853
2000-06-22,84.0955442881,113.229781664,0.257301894853
2000-06-21,84.9346903224,113.229781664,0.249890893772
2000-06-20,85.5784726705,113.229781664,0.244205266381
2000-06-19,85.0972748665,113.229781664,0.248455012313
2000-06-16,85.5666721794,113.229781664,0.244309483583
2000-06-15,85.1051418606,113.229781664,0.248385534177
2000-06-14,85.7017222443,113.229781664,0.243116775597
2000-06-13,84.5321624591,113.229781664,0.253445858353
2000-06-12,84.3197536191,113.229781664,0.255321768002
2000-06-09,84.4888939917,113.229781664,0.253827988096
2000-06-08,85.1811894699,113.229781664,0.247713912205
2000-06-07,85.2755933988,113.229781664,0.246880174583
2000-06-06,85.8393946405,113.229781664,0.241900908233
2000-06-05,85.8380834749,113.229781664,0.241912487921
2000-06-02,86.8830825206,113.229781664,0.232683475639
2000-06-01,84.8389752278,113.229781664,0.250736211083
2000-05-31,84.8389752278,113.229781664,0.250736211083
2000-05-30,84.8389752278,113.229781664,0.250736211083
2000-05-26,84.8389752278,113.229781664,0.250736211083
2000-05-25,84.8389752278,113.229781664,0.250736211083
2000-05-24,84.8389752278,113.229781664,0.250736211083
2000-05-23,84.8389752278,113.229781664,0.250736211083
2000-05-22,84.8389752278,113.229781664,0.250736211083
2000-05-19,84.8389752278,113.229781664,0.250736211083
2000-05-18,84.8389752278,113.229781664,0.250736211083
2000-05-17,84.8389752278,113.229781664,0.250736211083
2000-05-16,84.8389752278,113.229781664,0.250736211083
2000-05-15,84.8389752278,113.229781664,0.250736211083
2000-05-12,84.8389752278,113.229781664,0.250736211083
2000-05-11,84.8389752278,113.229781664,0.250736211083
2000-05-10,84.8389752278,113.229781664,0.250736211083
2000-05-09,84.8389752278,113.229781664,0.250736211083
2000-05-08,84.8389752278,113.229781664,0.250736211083
2000-05-05,84.8389752278,113.229781664,0.250736211083
2000-05-04,84.8389752278,113.229781664,0.250736211083
2000-05-03,84.8389752278,113.229781664,0.250736211083
2000-05-02,84.8389752278,113.229781664,0.250736211083
2000-04-28,84.8389752278,113.229781664,0.250736211083
2000-04-27,84.8389752278,113.229781664,0.250736211083
2000-04-26,84.8389752278,113.229781664,0.250736211083
2000-04-25,84.8389752278,113.229781664,0.250736211083
2000-04-20,84.8389752278,113.229781664,0.250736211083
2000-04-19,84.8389752278,113.229781664,0.250736211083
2000-04-18,84.8389752278,113.229781664,0.250736211083
2000-04-17,84.8389752278,113.229781664,0.250736211083
2000-04-14,84.8389752278,113.229781664,0.250736211083
2000-04-13,84.8389752278,113.229781664,0.250736211083
2000-04-12,84.8389752278,113.229781664,0.250736211083
2000-04-11,84.8389752278,113.229781664,0.250736211083
2000-04-10,84.8389752278,113.229781664,0.250736211083
2000-04-07,84.8389752278,113.229781664,0.250736211083
2000-04-06,84.8389752278,113.229781664,0.250736211083
2000-04-05,84.8389752278,113.229781664,0.250736211083
2000-04-04,84.8389752278,113.229781664,0.250736211083
2000-04-03,84.8389752278,113.229781664,0.250736211083
2000-03-31,84.8389752278,113.229781664,0.250736211083
2000-03-30,84.8389752278,113.229781664,0.250736211083
2000-03-29,86.860831275,113.229781664,0.232879989712
2000-03-28,87.5360996032,113.229781664,0.226916290778
2000-03-27,88.0244515521,113.229781664,0.222603362309
2000-03-24,88.6997198803,113.229781664,0.216639663375
2000-03-23,86.8055461487,113.229781664,0.233368245765
2000-03-22,87.0029930283,113.229781664,0.231624474147
2000-03-21,87.1122469683,113.229781664,0.230659587185
2000-03-20,87.225449846,113.229781664,0.22965982479
2000-03-17,86.3237757624,113.229781664,0.237623048514
2000-03-16,86.3132452622,113.229781664,0.237716049667
2000-03-15,84.8626688534,113.229781664,0.250526958489
2000-03-14,85.3905101782,113.229781664,0.245865275696
2000-03-13,85.124615047,113.229781664,0.248213554808
2000-03-10,86.4646212032,113.229781664,0.236379158093
2000-03-09,85.982850817,113.229781664,0.240633960841
2000-03-08,84.3914289674,113.229781664,0.254688760084
2000-03-07,85.1193497969,113.229781664,0.248260055385
2000-03-06,86.4527743905,113.229781664,0.23648378439
2000-03-03,85.3957754283,113.229781664,0.24581877512
