Date,EWGRAD_250
2009-08-10,-0.467930292515
2009-08-07,-0.464773437584
2009-08-06,-0.461418714891
2009-08-05,-0.45788701049
2009-08-04,-0.454496533556
2009-08-03,-0.451188951863
2009-07-31,-0.447593330357
2009-07-30,-0.444117582477
2009-07-29,-0.440390955942
2009-07-28,-0.436648958432
2009-07-27,-0.433098875612
2009-07-24,-0.429549495803
2009-07-23,-0.425981613071
2009-07-22,-0.422292595617
2009-07-21,-0.418613516203
2009-07-20,-0.414914559765
2009-07-17,-0.411207322812
2009-07-16,-0.40752676153
2009-07-15,-0.403878825365
2009-07-14,-0.400359800904
2009-07-13,-0.396934770731
2009-07-10,-0.393725541011
2009-07-09,-0.390456681118
2009-07-08,-0.387264472732
2009-07-07,-0.383983424669
2009-07-06,-0.380712887992
2009-07-03,-0.377393970151
2009-07-02,-0.374105762035
2009-07-01,-0.370740683535
2009-06-30,-0.367484430691
2009-06-29,-0.364204447129
2009-06-26,-0.361013471494
2009-06-25,-0.357832977979
2009-06-24,-0.354647068782
2009-06-23,-0.351550836285
2009-06-22,-0.348474279256
2009-06-19,-0.345322672712
2009-06-18,-0.342239972939
2009-06-17,-0.339185188102
2009-06-16,-0.336118689485
2009-06-15,-0.333079098288
2009-06-12,-0.33006711957
2009-06-11,-0.327093399147
2009-06-10,-0.324129575055
2009-06-09,-0.321179376862
2009-06-08,-0.318254160411
2009-06-05,-0.31536577722
2009-06-04,-0.312487004034
2009-06-03,-0.309632239337
2009-06-02,-0.306841062244
2009-06-01,-0.304100162495
2009-05-29,-0.30132318346
2009-05-28,-0.298563165248
2009-05-27,-0.29583229101
2009-05-26,-0.293123146058
2009-05-22,-0.290431700809
2009-05-21,-0.287765281699
2009-05-20,-0.28515047489
2009-05-19,-0.282567816972
2009-05-18,-0.279984404837
2009-05-15,-0.277404903682
2009-05-14,-0.27484555366
2009-05-13,-0.272312155439
2009-05-12,-0.269805125316
2009-05-11,-0.267323124624
2009-05-08,-0.264875310021
2009-05-07,-0.262424010899
2009-05-06,-0.259992920098
2009-05-05,-0.257581967499
2009-05-01,-0.255231819919
2009-04-30,-0.252900536273
2009-04-29,-0.250633682403
2009-04-28,-0.248500700994
2009-04-27,-0.246293842023
2009-04-24,-0.24411724098
2009-04-23,-0.242166300816
2009-04-22,-0.240209257907
2009-04-21,-0.23835131689
2009-04-20,-0.236503212788
2009-04-17,-0.234495238368
2009-04-16,-0.232565993619
2009-04-15,-0.230810788382
2009-04-14,-0.229030259929
2009-04-09,-0.227276277952
2009-04-08,-0.225662013771
2009-04-07,-0.224053003678
2009-04-06,-0.222328690348
2009-04-03,-0.220552998786
2009-04-02,-0.218645786896
2009-04-01,-0.217041960255
2009-03-31,-0.215517267627
2009-03-30,-0.214430934417
2009-03-27,-0.213003784769
2009-03-26,-0.211532699132
2009-03-25,-0.210134987611
2009-03-24,-0.208727739657
2009-03-23,-0.207245001608
2009-03-20,-0.20603841987
2009-03-19,-0.204920111431
2009-03-18,-0.203854836468
2009-03-17,-0.202669543651
2009-03-16,-0.201484946634
2009-03-13,-0.200629875513
2009-03-12,-0.199932131019
2009-03-11,-0.19932512273
2009-03-10,-0.198678289357
2009-03-09,-0.198710523258
2009-03-06,-0.198851726863
2009-03-05,-0.199061650488
2009-03-04,-0.198852403191
2009-03-03,-0.199270548369
2009-03-02,-0.199259904554
2009-02-27,-0.198525114844
2009-02-26,-0.197546669825
2009-02-25,-0.196801967725
2009-02-24,-0.196198087894
2009-02-23,-0.195508151301
2009-02-20,-0.194719961667
2009-02-19,-0.19357170971
2009-02-18,-0.192473841667
2009-02-17,-0.19132116147
2009-02-16,-0.18994068397
2009-02-13,-0.188460046593
2009-02-12,-0.186968584763
2009-02-11,-0.185431298687
2009-02-10,-0.183945634496
2009-02-09,-0.18231613572
2009-02-06,-0.180722587687
2009-02-05,-0.17924517482
2009-02-04,-0.177780960883
2009-02-03,-0.176451448831
2009-02-02,-0.175327765067
2009-01-30,-0.174057957852
2009-01-29,-0.172719496574
2009-01-28,-0.171210453984
2009-01-27,-0.16988756202
2009-01-26,-0.168549543106
2009-01-23,-0.167565803996
2009-01-22,-0.166600747003
2009-01-21,-0.165634521986
2009-01-20,-0.164608827931
2009-01-19,-0.163558991789
2009-01-16,-0.162436798455
2009-01-15,-0.161388078834
2009-01-14,-0.160222732119
